customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2154-QFDQH,Male,0,No,Yes,71,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),74.73,5310.5,Yes
1864-LRUUR,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.25,357.35,No
4842-NJGEG,Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,75.62,1139.23,No
4406-QAUDA,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),95.24,6289.47,Yes
6804-NNQJF,Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.77,1203.85,No
9775-SFWKH,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,91.74,1080.94,Yes
5437-EUHFR,Female,1,No,Yes,63,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,55.88,3543.57,No
8546-MWYVS,Male,0,Yes,No,60,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,83.6,5018.33,No
6762-AESMR,Female,0,No,No,31,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,60.15,1869.09,No
7479-QXRNL,Female,0,No,Yes,11,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.52,811.79,Yes
5723-TXLZU,Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,77.13,3077.22,Yes
3032-YABYP,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,78.48,5103.21,Yes
1056-LUFVG,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,45.55,311.47,No
7687-EWGQG,Female,1,No,No,58,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,81.62,4728.63,No
6399-MCBZV,Male,0,No,Yes,24,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),71.71,1721.08,No
7965-YUNWY,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,73.43,290.44,Yes
6799-XGNSR,Female,0,Yes,Yes,44,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,56.37,2487.09,Yes
7836-ZHQXW,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.7,27.05,No
7839-CKXML,Male,0,No,No,41,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),54.77,2242.34,No
2955-KVJET,Male,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.44,817.55,No
1180-KBJBS,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,92.06,200.98,Yes
5724-TFLRV,Male,0,Yes,No,45,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,56.96,2563.24,No
6737-WHLGY,Male,0,No,No,21,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,58.1,1193.15,Yes
4976-MTEDM,Male,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,88.14,2812.26,Yes
3687-CQPEB,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.44,571.05,No
5526-YNAZJ,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.64,323.18,Yes
9365-UGXUU,Female,0,No,No,55,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),81.09,4462.91,No
4464-QPQFB,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),80.07,148.91,No
3691-KYXFZ,Female,1,Yes,No,69,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),51.53,3569.08,No
6653-YYGSR,Female,0,No,No,48,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),66.68,3183.58,No
2055-ZGSNE,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.59,1060.25,No
3038-YBHAC,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.09,625.43,No
3194-QZNUA,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.75,1712.5,No
8056-ZMXFL,Female,1,No,No,15,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),54.18,827.46,No
2837-JCUPN,Male,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,96.31,1551.78,No
8342-UHLYF,Female,1,Yes,No,0,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),52.36, ,Yes
6388-GSJNK,Female,1,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,1299.69,No
6589-UMUFP,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,1164.69,No
1831-UFBLP,Male,0,Yes,No,65,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,59.59,3870.66,No
6450-FMXCF,Female,0,No,No,36,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),55.62,1995.76,Yes
5924-VDDVB,Male,1,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.05,478.9,No
3860-QJFAA,Female,0,No,Yes,61,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,77.04,4706.14,Yes
2905-QJRFK,Male,1,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.07,1752.62,Yes
6594-XRNDM,Female,0,Yes,Yes,36,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.07,1808.89,No
5917-EUGXD,Male,0,No,Yes,34,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),68.56,2329.39,No
9414-HPWGJ,Male,1,Yes,No,37,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,56.9,2108.56,No
8790-WSPGN,Female,0,Yes,No,52,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),65.98,3425.56,No
6451-RWNUY,Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,81.58,1153.47,Yes
2913-RSXVA,Female,0,No,No,41,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,93.02,3815.18,No
7025-EAPPK,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,81.58,254.14,Yes
3810-FGYQB,Female,0,No,No,38,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),57.37,2176.52,No
9259-HSVGX,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),85.01,1858.09,No
4002-UFHKD,Female,1,No,Yes,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,73.55,1022.56,No
5157-HSTEZ,Female,1,Yes,No,11,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.41,944.54,Yes
6815-TDYYE,Female,0,No,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,1247.7,No
3358-SMAFZ,Female,0,No,No,53,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),91.8,4862.99,No
3510-NNMPF,Female,0,No,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,74.15,2741.34,Yes
5816-RLDWL,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.12,2005.75,Yes
8768-MESVR,Female,1,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.36,357.19,No
6954-NFPJC,Male,0,No,No,68,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),54.65,3719.18,No
4844-ECKJP,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.08,1582.78,No
1922-ARNKD,Female,0,No,Yes,3,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),84.62,246.61,No
6180-RDDFJ,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.51,187.34,No
3721-EDANL,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.31,214.07,No
4985-YGNEK,Female,0,Yes,Yes,68,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,59.04,4010.43,No
3117-RFNCT,Female,0,Yes,No,6,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),88.51,536.43,No
9376-WNHSM,Female,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),96.96,4176.24,No
3729-RFNAT,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Mailed check,83.75,1845.72,No
3303-SNPVT,Female,0,Yes,Yes,1,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,56.41,67.02,Yes
5846-ZLKLU,Male,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.99,722.29,No
1526-AJWZY,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.74,1422.78,No
8424-WPSFR,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,72.84,1373.19,Yes
5486-WRSTB,Female,0,No,Yes,43,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),63.85,2746.08,Yes
5344-SPJZE,Female,0,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),22.75,1565.62,No
6146-YBJEX,Male,0,No,No,50,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,82.3,4116.05,Yes
8536-DWWMZ,Female,1,No,No,30,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),75.5,2281.69,No
1782-TVSMZ,Male,1,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,57.87,2308.89,No
1340-PVTBV,Female,0,Yes,No,57,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),59.9,3417.09,No
3050-VXQLW,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,89.68,346.79,Yes
6758-SHBAP,Male,0,No,No,32,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,55.68,1798.77,No
1634-WDPCJ,Female,0,Yes,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),84.78,3561.01,No
1727-NWKLK,Male,0,Yes,Yes,18,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),48.59,872.17,Yes
1948-UJKNH,Female,0,Yes,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.08,603.79,No
7958-QEPYW,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.95,41.46,No
3144-UYRKN,Male,0,Yes,Yes,0,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,62.0, ,Yes
1849-VUDEF,Female,0,No,No,40,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),53.0,2123.39,No
3691-YDFLW,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,87.11,4098.71,No
2345-NJJJJ,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,79.53,3047.61,No
5588-ZJXZG,Female,1,Yes,No,4,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,66.46,267.73,Yes
7336-ANDYH,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,77.11,776.77,Yes
6457-HXTQK,Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.3,451.79,No
9021-QDLGY,Male,0,Yes,No,63,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,82.71,5194.11,No
7661-JRUFH,Male,0,Yes,No,11,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,57.09,626.85,Yes
5344-GHGWC,Male,0,No,No,52,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,72.62,3767.96,No
3885-DHEML,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.27,1140.54,No
8238-WTMPD,Male,0,Yes,Yes,52,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),61.68,3200.02,No
4032-YAQYP,Male,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,81.59,1650.15,Yes
5605-FSVQE,Male,0,Yes,No,18,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.4,1056.29,Yes
8845-DFDCK,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,1252.02,No
9481-BYZTM,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,73.77,5257.73,No
6038-NLFFV,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,90.89,5901.32,No
9058-HAKSN,Male,0,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,1073.68,No
9015-ZPSYU,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),74.09,3541.05,Yes
5461-QDGXK,Female,1,No,No,58,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),77.7,4519.53,No
9364-UCASZ,Female,1,Yes,No,22,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),57.07,1251.69,No
4455-MSQHL,Male,1,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,76.81,152.85,Yes
8014-MVWAG,Male,0,Yes,No,55,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),53.94,2979.91,No
4656-YXQPQ,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.45,1055.23,No
4038-JDQNM,Male,0,Yes,No,61,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),74.42,4544.71,No
1097-JJXHW,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.51,340.86,No
4136-VUNSE,Male,0,Yes,No,60,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,57.05,3426.23,No
3297-VQRBP,Male,0,Yes,Yes,36,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,61.1,2199.3,No
4017-XUEGM,Male,1,No,No,53,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),94.62,5011.89,No
9645-YXUGK,Male,0,No,No,64,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),52.05,3333.72,No
6199-SKUQM,Male,1,Yes,No,13,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,59.52,767.85,Yes
2040-AUWHD,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.37,107.01,Yes
6664-WHXGC,Male,0,Yes,No,61,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,60.91,3721.41,No
8977-ABEXU,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,68.01, ,No
5219-WLMZY,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.26,1247.59,No
8379-FSMQM,Female,0,Yes,No,66,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),57.03,3762.1,No
5858-ZNRYE,Male,0,No,Yes,19,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),75.95,1437.51,No
1861-XXWCD,Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.36,910.74,No
7592-BQRNA,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.25,747.79,No
8211-GPVKP,Female,1,No,Yes,68,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,84.51,5754.82,No
9703-KDASW,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.08,726.6,No
2084-ZSLFQ,Male,1,No,No,61,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,71.63,4364.94,No
4234-JZYMF,Female,0,Yes,Yes,47,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,51.14,2415.89,No
4824-MWLTQ,Male,0,No,No,5,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,92.47,446.37,No
7887-XPNPB,Male,0,Yes,No,41,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,64.74,2660.19,No
5238-WZCZA,Female,0,No,Yes,57,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,88.15,5027.41,No
